Obs.	LS.BA.CP.U.2	LS.BA.CP.U.4	LS.BA.CP.U.5	LS.BA.DHI.U.2	LS.BA.GA.U.1	LS.BA.GA.U.3	LS.BA.ML.U.2	LS.BA.ML.U.4	LS.BA.ML.U.5	LS.BA.PIK.U.1	LS.BA.PIK.U.2	LS.BA.PIK.U.3	LS.BA.PIK.U.5	LS.BA.PSP.M.1	LS.BA.WB.U.1	LS.BA.WB.U.2	LS.BA.WB.U.3	LS.BA.WB.U.5	LS.BA.WBO.U.3	LS.BA.WBO.U.5	LS.BO.HC4.M.2	LS.BO.HC4.M.3	LS.BO.HC4.M.4	LS.BO.I1.U.1	LS.BO.I2.U.1	LS.BO.I2.U.3	LS.BO.I2.U.4	LS.BO.I2.U.5	LS.BO.I4.U.1	LS.BO.I4.U.2	LS.BO.LC1.M.2	LS.BO.LC2.M.1	LS.BO.LC4.M.2	LS.BO.LC4.M.4	LS.BO.LC4.M.5	LS.BO.R1.U.1	LS.BO.R1.U.2	LS.BO.R2.U.2	LS.BO.R3.U.1	LS.BO.R3.U.2	LS.BO.R3.U.3	LS.BO.R4.U.1	LS.BO.R4.U.2	LS.BO.R4.U.4	LS.BO.WL1.M.1	LS.BO.WL1.M.2	LS.BO.WL1.M.3	LS.BO.WL2.M.1	LS.BO.WL2.M.2	LS.BO.WL2.M.3	LS.BO.WL3.M.1	LS.BO.WL3.M.3	LS.BO.WL3.M.4	LS.BO.WL3.M.5	LS.LA.ARR.U.1	LS.LA.ARR.U.2	LS.LA.ARR.U.3	LS.LA.ARR.U.4	LS.LA.ARR.U.5	LS.LA.ESM.M.1	LS.LA.ESM.M.2	LS.LA.ESM.M.4	LS.LA.ESM.M.5	LS.LA.FIG.U.1	LS.LA.FIG.U.3	LS.LA.FIG.U.5	LS.LA.GLO.M.3	LS.LA.GLO.M.5	LS.LA.GRI.M.1	LS.LA.GRI.M.3	LS.LA.HOW.U.1	LS.LA.HOW.U.3	LS.LA.HOW.U.4	LS.LA.HOW.U.5	LS.LA.MAD.M.1	LS.LA.MAD.M.2	LS.LA.MAD.M.4	LS.LA.NAV.M.2	LS.LA.NAV.M.4	LS.LA.NAV.M.5	LS.LA.NVR.U.1	LS.LA.PAR.M.2	LS.LA.PAR.M.4	LS.LA.SAN.U.1	LS.LA.SAN.U.2	LS.LA.SAN.U.3	LS.LA.SAN.U.4	LS.LA.SAN.U.5	LS.LA.SHO.M.1	LS.LA.SHO.M.2	LS.LA.SHO.M.3	LS.LA.SHO.M.4	LS.LA.SHO.M.5	LS.LA.SSV.M.1	LS.LA.SSV.M.2	LS.LA.SSV.M.3	LS.LA.SSV.M.4	LS.LA.SSV.M.5	LS.LA.STO.U.1	LS.LA.STO.U.4	LS.LA.VB1.U.1	LS.LA.VB1.U.2	LS.LA.VB1.U.3	LS.LA.VB1.U.4	LS.LA.VET.M.3	LS.LA.VET.M.4	LS.LA.VET.M.5	LS.LA.VNH.M.2	LS.LA.VNH.M.4	LS.LA.VNH.M.5	LS.LA.WES.M.2	LS.LA.WES.M.3	LS.LA.WES.M.4	LS.LA.WES.M.5	LS.MN.L01-LS.M.1	LS.MN.L01-LS.M.2	LS.MN.L01-LS.M.4	LS.MN.L01-LS.U.1	LS.MN.L01-LS.U.2	LS.MN.L01-LS.U.3	LS.MN.L01-LS.U.4	LS.MN.L02-LS.U.1	LS.MN.L03-LS.U.2	LS.MN.L04-LS.U.2	LS.MN.L05-LS.U.1	LS.MN.L05-LS.U.2	LS.MN.L05-LS.U.3	LS.MN.L05-LS.U.4	LS.MN.L05-LS.U.5	LS.MN.L06-LS.U.2	LS.MN.L06-LS.U.4	LS.MN.L06-LS.U.5	LS.MN.L07-LS.U.2	LS.MN.L07-LS.U.4	LS.MN.L07-LS.U.5	LS.MN.L08-LS.U.1	LS.MN.L08-LS.U.2	LS.MN.L08-LS.U.3	LS.MN.L08-LS.U.5	LS.MN.L09-LS.U.3	LS.MN.L09-LS.U.5	LS.MN.L10-LS.U.1	LS.MN.L10-LS.U.2	LS.MN.L11-LS.U.1	LS.PX.ALA.M.2	LS.PX.ALA.M.3	LS.PX.ALA.M.4	LS.PX.ALA.M.5	LS.PX.ALA.M.6	LS.PX.COY.M.3	LS.PX.COY.M.4	LS.PX.COY.M.5	LS.PX.DOW.M.2	LS.PX.DOW.M.3	LS.PX.DOW.M.4	LS.PX.ENC.M.2	LS.PX.ENC.M.4	LS.PX.ENC.M.5	LS.PX.LAP.M.1	LS.PX.LAP.M.2	LS.PX.MAN.M.1	LS.PX.MAN.M.2	LS.PX.MAN.M.3	LS.PX.MAN.M.4	LS.PX.MAN.M.5	LS.PX.MON.U.2	LS.PX.MON.U.3	LS.PX.MON.U.5	LS.PX.MON.U.7	LS.PX.NUE.M.1	LS.PX.NUE.M.3	LS.PX.PAL.M.1	LS.PX.PAL.M.2	LS.PX.PAL.M.3	LS.PX.PAL.M.5	LS.PX.PIE.M.2	LS.PX.PIE.M.4	LS.PX.PIE.M.5	LS.PX.PKW.U.1	LS.PX.PKW.U.3	LS.PX.PKW.U.5	LS.PX.RPL.U.2	LS.PX.RPL.U.3	LS.PX.RPL.U.5
LS.BA.CP.U.2	0	0.14544	0.108777	0.021487	0.171382	0.142282	0.150184	0.155179	0.123746	0.118797	0.102071	0.149882	0.131404	0.163962	0.031243	0.149729	0.11712	0.022889	0.161725	0.047134	0.004777	0.013235	0.001649	0.002571	0.001649	0.001509	0.001118	0.001565	0.007418	0	0.045638	0	0	0	0.000894	0	0.001565	0.000894	0.11349	0	0.161266	0.000894	0.00218	0.000894	0	0	0	0	0.004689	0.000894	0.035927	0.143282	0.182242	0.075864	0.166068	0.188105	0.156723	0.01903	0.159098	0.044901	0.067691	0.025481	0.164069	0.165756	0.13799	0.162637	0.006137	0.007096	0.088533	0.068524	0.040166	0.160376	0.178163	0.09721	0.14458	0.111455	0.102027	0.07405	0.182562	0.149971	0.158464	0.065622	0.149865	0.160792	0.203092	0.076898	0.110762	0.147864	0.072364	0.125113	0.156142	0.019973	0.086318	0.179118	0.102117	0.122798	0.132502	0.091764	0.107014	0.169117	0.111204	0.05422	0.134278	0.1464	0.111447	0.162363	0.128072	0.128823	0.128252	0.14432	0.138948	0.120708	0.061642	0.112809	0.004383	0.029624	0.033107	0.019548	0.130106	0.210362	0.063518	0.176447	0.065681	0.176371	0.136651	0.133316	0.110584	0.038012	0.124413	0.15123	0.105625	0.132196	0.114343	0.179793	0.144317	0.048452	0.157099	0.134466	0.080424	0.217321	0.134749	0.164641	0.123759	0.132563	0.168593	0.199195	0.087724	0.147444	0.169812	0.14897	0.120533	0.08061	0.041735	0.042267	0.021109	0.029241	0.135244	0.022566	0.150171	0.04094	0.13718	0.200161	0.072315	0.166104	0.161025	0.208698	0.061534	0.036556	0.079691	0.145502	0.071765	0.002851	0.0045	0.007739	0.001342	0.053013	0.101383	0.064502	0.031978	0.022032	0.100061	0.05652	0.066034	0.042335
LS.BA.CP.U.4	0.14544	0	0.125931	0.019917	0.187687	0.111921	0.14919	0.135817	0.117254	0.086755	0.096193	0.146795	0.117541	0.154869	0.021358	0.138343	0.141754	0.017341	0.157599	0.048436	0.003556	0.012641	0	0	0	0.001335	0.001705	0	0.005133	0	0.040164	0	0	0	0.001677	0	0	0	0.112477	0	0.15248	0.001677	0.003431	0.001677	0	0	0	0	0.001754	0.001677	0.026641	0.141976	0.202353	0.067515	0.164007	0.193319	0.154547	0.009107	0.147229	0.045307	0.082793	0.027201	0.166159	0.145328	0.135829	0.152488	0.002683	0.002851	0.073944	0.060031	0.040501	0.160972	0.178926	0.090963	0.16273	0.116982	0.114028	0.070311	0.199561	0.168167	0.153986	0.062475	0.170041	0.167475	0.199031	0.063079	0.107489	0.1467	0.055138	0.108673	0.169114	0.014393	0.071665	0.201584	0.097095	0.109006	0.147331	0.084911	0.099569	0.16858	0.100812	0.045263	0.121944	0.153693	0.129873	0.18216	0.140142	0.113999	0.11711	0.15217	0.155537	0.119872	0.061116	0.124486	0.001342	0.029862	0.023077	0.016908	0.14592	0.213146	0.053394	0.170637	0.05115	0.160695	0.131157	0.119042	0.094025	0.039014	0.121224	0.143057	0.087397	0.131009	0.094333	0.172934	0.136303	0.02409	0.135213	0.153465	0.068777	0.222473	0.104956	0.159019	0.11781	0.136148	0.176666	0.222334	0.079952	0.164312	0.202965	0.151247	0.1366	0.064712	0.041954	0.038659	0.021113	0.026599	0.144685	0.027049	0.153025	0.031247	0.166965	0.217326	0.075628	0.174932	0.188605	0.220048	0.054854	0.023569	0.06289	0.158974	0.079339	0.001335	0.00088	0.000671	0	0.037012	0.078555	0.06378	0.023925	0.016397	0.096481	0.058326	0.064459	0.035101
LS.BA.CP.U.5	0.108777	0.125931	0	0.006579	0.14995	0.071735	0.108526	0.098789	0.075801	0.058416	0.063586	0.099188	0.087793	0.106791	0.014094	0.119812	0.10954	0.004619	0.085419	0.036665	0.002669	0.005141	0.001118	0	0.001118	0	0	0.000894	0.003354	0	0.026094	0	0.001789	0	0	0	0.000894	0	0.112716	0	0.114668	0	0.001649	0	0	0	0	0	0.00341	0	0.021226	0.101041	0.122706	0.043765	0.126946	0.141702	0.130965	0.004639	0.127271	0.026576	0.04013	0.011291	0.132038	0.100885	0.077824	0.113523	0.004986	0.005223	0.039781	0.026682	0.029666	0.131019	0.127491	0.059248	0.135405	0.111023	0.066846	0.036889	0.144426	0.12315	0.130197	0.027821	0.137257	0.128285	0.141944	0.024226	0.072298	0.12459	0.025742	0.073231	0.113752	0.010177	0.034727	0.128224	0.066628	0.069023	0.117921	0.046815	0.072864	0.117849	0.048651	0.019184	0.081194	0.107823	0.090643	0.155547	0.113952	0.07094	0.107259	0.113657	0.115346	0.074405	0.035689	0.077365	0	0.016939	0.022682	0.009984	0.105944	0.17236	0.035578	0.103222	0.036445	0.1082	0.082102	0.063264	0.069754	0.018179	0.106308	0.116813	0.071195	0.100945	0.064866	0.134745	0.098571	0.015029	0.121822	0.097193	0.032226	0.140964	0.072603	0.106141	0.103782	0.132764	0.145821	0.168436	0.046853	0.152109	0.158427	0.126356	0.10582	0.040472	0.024959	0.020839	0.015869	0.015124	0.099595	0.015033	0.11708	0.023385	0.133064	0.172075	0.049736	0.139733	0.139888	0.18121	0.039239	0.022028	0.052621	0.118135	0.070734	0.001773	0.001747	0.004581	0.001773	0.031158	0.074025	0.052385	0.016144	0.009419	0.083831	0.035987	0.040159	0.021097
LS.BA.DHI.U.2	0.021487	0.019917	0.006579	0	0.025224	0.02458	0.025374	0.011784	0.022068	0.023203	0.018547	0.024213	0.028873	0.019936	0.020929	0.028335	0.012568	0.018649	0.024702	0.025316	0.0038	0.014559	0	0	0	0	0.001747	0.002961	0.003913	0.001789	0.020501	0	0.00134	0	0	0	0.001788	0.001676	0.010851	0	0.03405	0	0.001733	0	0	0	0	0	0.001788	0	0.013946	0.025111	0.023698	0.021915	0.012647	0.012894	0.022125	0.015424	0.018589	0.015388	0.020406	0.018117	0.01513	0.015551	0.022222	0.025425	0	0	0.016058	0.026837	0.020123	0.01955	0.019369	0.02816	0.01693	0.01359	0.018522	0.017676	0.017324	0.019156	0.019712	0.0217	0.016747	0.011813	0.03276	0.017143	0.029051	0.019804	0.029401	0.030348	0.018871	0.009585	0.020169	0.021033	0.02878	0.028786	0.020971	0.018178	0.020916	0.013782	0.021589	0.018639	0.027301	0.025594	0.023018	0.020924	0.023517	0.020953	0.015607	0.01785	0.017087	0.028926	0.019696	0.027331	0.004892	0.016864	0.021316	0.014253	0.01466	0.021147	0.018608	0.026563	0.022777	0.026503	0.023036	0.034377	0.029153	0.02828	0.015893	0.02443	0.026764	0.02912	0.022352	0.0251	0.030747	0.018509	0.026164	0.02086	0.027089	0.025005	0.023512	0.009748	0.023227	0.014566	0.023286	0.030706	0.019913	0.017839	0.020747	0.03671	0.019068	0.025004	0.027172	0.022015	0.016131	0.013488	0.03072	0.017545	0.026142	0.023198	0.024108	0.035341	0.029039	0.020776	0.019895	0.024263	0.024144	0.020041	0.019566	0.034338	0.035652	0	0	0	0.001677	0.013023	0.033893	0.021744	0.018882	0.01756	0.031025	0.018116	0.026482	0.022854
LS.BA.GA.U.1	0.171382	0.187687	0.14995	0.025224	0	0.11425	0.169215	0.180799	0.147942	0.11932	0.108142	0.162062	0.122529	0.171853	0.031595	0.201684	0.132703	0.018424	0.18774	0.0658	0.005681	0.021244	0	0.001118	0	0	0.001564	0.001761	0.009483	0	0.04626	0	0.001761	0	0	0.001286	0	0	0.127136	0	0.200598	0	0.001335	0	0	0.001118	0	0	0.001335	0	0.042458	0.14528	0.212626	0.094373	0.178242	0.21971	0.183899	0.015955	0.174294	0.040185	0.071885	0.030677	0.171148	0.146607	0.154029	0.161751	0.006118	0.005716	0.080902	0.073288	0.053391	0.165246	0.182195	0.098162	0.176284	0.129035	0.109315	0.074785	0.215274	0.185473	0.15709	0.06698	0.182117	0.178501	0.212009	0.07589	0.12663	0.191022	0.07365	0.1268	0.191185	0.021423	0.079682	0.199932	0.113191	0.118311	0.179103	0.100003	0.124184	0.171754	0.112803	0.053674	0.14532	0.176263	0.148533	0.193896	0.156391	0.128066	0.138784	0.171836	0.161344	0.146878	0.06696	0.131766	0.002428	0.034803	0.027782	0.018135	0.138203	0.228631	0.064264	0.165494	0.067694	0.172314	0.120812	0.143063	0.114478	0.044731	0.148165	0.16618	0.116598	0.154586	0.119844	0.198083	0.15892	0.031946	0.162823	0.14533	0.073452	0.240287	0.12623	0.175698	0.134787	0.155957	0.200838	0.227035	0.080349	0.176012	0.205324	0.182574	0.145862	0.073294	0.046947	0.046631	0.026112	0.03073	0.15062	0.027273	0.167727	0.034897	0.188	0.230876	0.090209	0.186601	0.190169	0.239156	0.063291	0.037478	0.093977	0.178353	0.108524	0.001551	0.001733	0.00573	0.001551	0.055267	0.089602	0.0731	0.020778	0.019448	0.122119	0.057089	0.076211	0.038487
LS.BA.GA.U.3	0.142282	0.111921	0.071735	0.02458	0.11425	0	0.131507	0.096427	0.08835	0.101057	0.092241	0.094588	0.099017	0.119304	0.023777	0.121966	0.087056	0.023383	0.149911	0.04337	0.007414	0.019679	0	0.000447	0	0	0	0.001564	0.007893	0.001788	0.038824	0	0	0	0.001314	0	0.001787	0.001564	0.072448	0	0.118545	0	0.001677	0	0	0.001621	0	0	0.001788	0	0.036209	0.103938	0.13555	0.072015	0.115045	0.130809	0.117328	0.018781	0.105228	0.02774	0.067316	0.024607	0.095924	0.108	0.110093	0.101424	0.004135	0.001328	0.05628	0.064724	0.042094	0.098668	0.122703	0.084575	0.124583	0.104518	0.096549	0.068515	0.159282	0.117118	0.120915	0.061695	0.110118	0.12466	0.138146	0.066649	0.0887	0.1005	0.063866	0.098781	0.122257	0.019379	0.068766	0.146233	0.101487	0.094399	0.102589	0.09011	0.078577	0.124956	0.096576	0.050677	0.096562	0.112974	0.099417	0.112482	0.115267	0.094735	0.087053	0.107681	0.121304	0.101893	0.058205	0.098308	0.002669	0.03522	0.026509	0.015484	0.094639	0.129141	0.062316	0.12199	0.055363	0.122918	0.079461	0.102488	0.094796	0.030896	0.075802	0.126605	0.091153	0.116872	0.092153	0.134189	0.105093	0.035672	0.089905	0.101898	0.060254	0.149034	0.080415	0.097689	0.100148	0.07641	0.118366	0.14467	0.069739	0.106615	0.134395	0.131653	0.112102	0.059068	0.045414	0.036631	0.03108	0.039392	0.122697	0.023192	0.111212	0.029515	0.110651	0.151613	0.063076	0.117284	0.12943	0.16534	0.052558	0.030238	0.086525	0.117286	0.078677	0	0	0.002572	0.001565	0.034758	0.076694	0.059654	0.024688	0.017778	0.088913	0.055468	0.065727	0.04038
LS.BA.ML.U.2	0.150184	0.14919	0.108526	0.025374	0.169215	0.131507	0	0.12518	0.114138	0.082824	0.085817	0.14124	0.113137	0.137827	0.029778	0.167042	0.102131	0.010999	0.15328	0.050655	0.005499	0.019251	0	0.000894	0	0.001509	0.002877	0.000867	0.003801	0	0.023877	0	0.000867	0	0.000894	0	0	0.000894	0.112595	0	0.153815	0.000894	0.00218	0.000894	0	0	0	0	0.001286	0.000894	0.029224	0.134292	0.169569	0.076295	0.143604	0.179102	0.163449	0.013137	0.141219	0.031884	0.068685	0.024229	0.134489	0.126635	0.127762	0.152633	0.004556	0.003773	0.071072	0.071088	0.057058	0.137939	0.15243	0.089511	0.140576	0.103733	0.091835	0.063799	0.170648	0.130365	0.13242	0.068167	0.145463	0.145546	0.192935	0.071034	0.119699	0.143804	0.06707	0.126341	0.14812	0.021256	0.068363	0.179426	0.10054	0.106873	0.13934	0.082886	0.107038	0.142724	0.099012	0.043102	0.122522	0.153324	0.124073	0.155577	0.129608	0.113724	0.096071	0.139761	0.123796	0.123751	0.065567	0.118584	0.001537	0.026839	0.026206	0.010028	0.122666	0.184263	0.055433	0.137881	0.054344	0.154839	0.11963	0.119745	0.097669	0.048603	0.123949	0.154531	0.101724	0.130165	0.108242	0.168081	0.128731	0.023019	0.13964	0.119538	0.068297	0.194263	0.103481	0.129369	0.120163	0.132725	0.138906	0.19732	0.072123	0.13197	0.167548	0.133244	0.121372	0.06176	0.048472	0.03857	0.020415	0.021869	0.137258	0.024502	0.122561	0.038522	0.154711	0.196052	0.066141	0.160445	0.156084	0.197585	0.049544	0.032113	0.074904	0.146168	0.082878	0.002627	0.002893	0.002669	0.001118	0.029519	0.085666	0.059142	0.022128	0.018189	0.094535	0.045544	0.060377	0.035167
LS.BA.ML.U.4	0.155179	0.135817	0.098789	0.011784	0.180799	0.096427	0.12518	0	0.103032	0.075418	0.080739	0.129997	0.101662	0.147204	0.021855	0.16275	0.129179	0.013876	0.117158	0.043734	0	0.008171	0	0.000447	0	0	0	0	0.003283	0	0.029174	0	0	0	0	0	0	0	0.107824	0	0.122749	0	0	0	0	0.001621	0	0	0	0	0.020047	0.117326	0.164731	0.060496	0.147411	0.182015	0.139002	0.009094	0.150525	0.040386	0.053013	0.031547	0.14997	0.134605	0.104401	0.135706	0.005267	0.005353	0.059143	0.048979	0.033905	0.149432	0.15602	0.074334	0.129658	0.129212	0.082809	0.052907	0.164012	0.13949	0.158638	0.039688	0.154884	0.152188	0.169688	0.039713	0.100913	0.139509	0.051317	0.09345	0.121614	0.016478	0.052029	0.14129	0.089001	0.083293	0.124076	0.05825	0.084463	0.152391	0.081085	0.029394	0.107514	0.129006	0.111137	0.173907	0.130777	0.098591	0.134809	0.135939	0.1278	0.104462	0.04614	0.09635	0.002439	0.021942	0.020204	0.01518	0.147614	0.195236	0.042947	0.122406	0.049255	0.134556	0.113659	0.073923	0.077369	0.023417	0.127672	0.140349	0.076815	0.132308	0.085423	0.162499	0.111787	0.034015	0.148966	0.139751	0.044888	0.185176	0.097112	0.108531	0.108784	0.153116	0.15761	0.202226	0.053701	0.166496	0.175081	0.134824	0.122593	0.043514	0.03316	0.02528	0.018509	0.024144	0.117227	0.009271	0.129802	0.023882	0.141586	0.198083	0.060056	0.151375	0.164633	0.194496	0.046399	0.023257	0.053663	0.125783	0.079195	0.001342	0.001342	0.005143	0.001342	0.031654	0.071777	0.049876	0.013677	0.010659	0.089947	0.043151	0.055331	0.027238
LS.BA.ML.U.5	0.123746	0.117254	0.075801	0.022068	0.147942	0.08835	0.114138	0.103032	0	0.083526	0.089381	0.110051	0.106862	0.115129	0.028412	0.136192	0.09037	0.023005	0.137493	0.051041	0.004939	0.014336	0	0	0.001328	0	0	0	0.008254	0	0.028409	0	0.001788	0	0	0	0	0	0.068939	0	0.115001	0	0.001118	0	0	0	0	0	0.001118	0	0.037743	0.124866	0.14019	0.074291	0.117929	0.158547	0.141283	0.016789	0.124083	0.037235	0.076145	0.034712	0.104428	0.121988	0.123381	0.121031	0.003354	0.003312	0.063901	0.055104	0.048611	0.120921	0.127815	0.085909	0.121548	0.094177	0.085158	0.071796	0.164935	0.146691	0.12229	0.060161	0.130612	0.130896	0.140492	0.064115	0.100114	0.12231	0.05926	0.110489	0.113799	0.020611	0.057151	0.147654	0.08371	0.100787	0.114025	0.094497	0.100231	0.142251	0.098885	0.048102	0.102872	0.118864	0.101408	0.123482	0.122833	0.112504	0.09202	0.122722	0.126771	0.100502	0.055316	0.093384	0.002669	0.040117	0.0347	0.022795	0.112423	0.150893	0.059938	0.119578	0.070373	0.139334	0.096588	0.103989	0.09091	0.047242	0.091806	0.126711	0.109311	0.124969	0.093752	0.141766	0.102536	0.047657	0.111479	0.103813	0.057974	0.159692	0.097543	0.098692	0.109531	0.094978	0.131084	0.144817	0.074953	0.131242	0.133746	0.146007	0.122661	0.08137	0.041435	0.037899	0.028561	0.041276	0.124442	0.030183	0.112255	0.03728	0.136968	0.152518	0.077441	0.137478	0.137281	0.156185	0.055431	0.035765	0.081655	0.141241	0.082386	0	0	0.002879	0	0.040909	0.084277	0.059364	0.01867	0.023521	0.103615	0.062433	0.068716	0.034306
LS.BA.PIK.U.1	0.118797	0.086755	0.058416	0.023203	0.11932	0.101057	0.082824	0.075418	0.083526	0	0.080523	0.10632	0.106406	0.097718	0.027435	0.102055	0.076006	0.026506	0.120202	0.061751	0.009069	0.019659	0.000839	0	0.000839	0.001754	0.001768	0.003047	0.006889	0.003438	0.034558	0	0.001788	0.001747	0.001342	0	0.003099	0.001564	0.061951	0	0.114843	0.001328	0.002876	0.001341	0	0	0.000671	0.001747	0.005139	0	0.036229	0.109604	0.113458	0.063715	0.09836	0.117955	0.098617	0.019378	0.095008	0.031271	0.059269	0.024386	0.085952	0.098527	0.095389	0.097036	0.002402	0.00385	0.058754	0.056878	0.04494	0.099965	0.102226	0.080428	0.090891	0.068223	0.070616	0.064508	0.121944	0.097734	0.111529	0.060296	0.08776	0.11356	0.138302	0.063638	0.082341	0.096348	0.075687	0.089413	0.091724	0.018667	0.063886	0.119582	0.087481	0.093349	0.08478	0.064117	0.08181	0.105527	0.078871	0.044271	0.101143	0.104853	0.089388	0.104415	0.100476	0.097149	0.089014	0.102585	0.100857	0.108031	0.04701	0.101792	0.00497	0.039577	0.032904	0.019074	0.081497	0.122602	0.057791	0.097991	0.069583	0.092611	0.090448	0.09608	0.083313	0.035474	0.075975	0.104565	0.082087	0.109978	0.081868	0.103475	0.09746	0.046108	0.084194	0.10401	0.058631	0.117154	0.0752	0.075513	0.096907	0.084993	0.103388	0.139115	0.059876	0.105926	0.115128	0.130711	0.099416	0.06863	0.044348	0.034172	0.037548	0.028893	0.100047	0.023105	0.108955	0.037966	0.107702	0.12814	0.064127	0.096994	0.102337	0.144894	0.058796	0.025558	0.064516	0.102004	0.079389	0.001754	0.001782	0.004965	0.003096	0.033437	0.078991	0.054471	0.023698	0.02237	0.092849	0.062937	0.063516	0.046302
