sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
LS.BA.PSP.M.1,(52),Baltimore,PSP,0,1,M,K1,0.004
LS.BA.PSP.M.1,(52),Baltimore,PSP,0,1,M,K2,0.996
LS.BA.PSP.M.1,(52),Baltimore,PSP,0,1,M,K3,0
LS.BO.I1.U.1,(98),Boston,I1,0,1,U,K1,0.98
LS.BO.I1.U.1,(98),Boston,I1,0,1,U,K2,0.017
LS.BO.I1.U.1,(98),Boston,I1,0,1,U,K3,0.004
LS.BO.I2.U.1,(99),Boston,I2,0,1,U,K1,0.893
LS.BO.I2.U.1,(99),Boston,I2,0,1,U,K2,0.079
LS.BO.I2.U.1,(99),Boston,I2,0,1,U,K3,0.029
LS.BO.I2.U.3,(98),Boston,I2,0,3,U,K1,0.05
LS.BO.I2.U.3,(98),Boston,I2,0,3,U,K2,0.871
LS.BO.I2.U.3,(98),Boston,I2,0,3,U,K3,0.079
LS.BO.I2.U.4,(98),Boston,I2,0,4,U,K1,0.024
LS.BO.I2.U.4,(98),Boston,I2,0,4,U,K2,0.941
LS.BO.I2.U.4,(98),Boston,I2,0,4,U,K3,0.035
LS.BO.I2.U.5,(98),Boston,I2,0,5,U,K1,0.005
LS.BO.I2.U.5,(98),Boston,I2,0,5,U,K2,0.988
LS.BO.I2.U.5,(98),Boston,I2,0,5,U,K3,0.006
LS.BO.I4.U.1,(96),Boston,I4,0,1,U,K1,0.985
LS.BO.I4.U.1,(96),Boston,I4,0,1,U,K2,0.007
LS.BO.I4.U.1,(96),Boston,I4,0,1,U,K3,0.008
LS.BO.I4.U.2,(98),Boston,I4,0,2,U,K1,0.018
LS.BO.I4.U.2,(98),Boston,I4,0,2,U,K2,0.016
LS.BO.I4.U.2,(98),Boston,I4,0,2,U,K3,0.966
LS.BO.R1.U.1,(98),Boston,R1,0,1,U,K1,0.011
LS.BO.R1.U.1,(98),Boston,R1,0,1,U,K2,0.005
LS.BO.R1.U.1,(98),Boston,R1,0,1,U,K3,0.984
LS.BO.R1.U.2,(98),Boston,R1,0,2,U,K1,0.963
LS.BO.R1.U.2,(98),Boston,R1,0,2,U,K2,0.021
LS.BO.R1.U.2,(98),Boston,R1,0,2,U,K3,0.016
LS.BO.R2.U.1,(99),Boston,R2,0,1,U,K1,0.64
LS.BO.R2.U.1,(99),Boston,R2,0,1,U,K2,0.338
LS.BO.R2.U.1,(99),Boston,R2,0,1,U,K3,0.022
LS.BO.R2.U.2,(98),Boston,R2,0,2,U,K1,0.941
LS.BO.R2.U.2,(98),Boston,R2,0,2,U,K2,0.03
LS.BO.R2.U.2,(98),Boston,R2,0,2,U,K3,0.029
LS.BO.R2.U.4,(99),Boston,R2,0,4,U,K1,0.51
LS.BO.R2.U.4,(99),Boston,R2,0,4,U,K2,0.188
LS.BO.R2.U.4,(99),Boston,R2,0,4,U,K3,0.302
LS.BO.R4.U.1,(99),Boston,R4,0,1,U,K1,0.627
LS.BO.R4.U.1,(99),Boston,R4,0,1,U,K2,0.34
LS.BO.R4.U.1,(99),Boston,R4,0,1,U,K3,0.033
LS.BO.R4.U.2,(97),Boston,R4,0,2,U,K1,0.04
LS.BO.R4.U.2,(97),Boston,R4,0,2,U,K2,0.952
LS.BO.R4.U.2,(97),Boston,R4,0,2,U,K3,0.008
LS.BO.R4.U.4,(98),Boston,R4,0,4,U,K1,0.882
LS.BO.R4.U.4,(98),Boston,R4,0,4,U,K2,0.022
LS.BO.R4.U.4,(98),Boston,R4,0,4,U,K3,0.096
LS.PX.COY.M.3,(55),Phoenix,COY,0,3,M,K1,0.001
