"","City","Site.Line","Species"
"1","MSP","L01.2","TO"
"2","MSP","L01.3","TO"
"3","MSP","L02.4","TO"
"4","MSP","L04.5","TO"
"5","MSP","L05.2","TO"
"6","MSP","L06.4","TO"
"7","MSP","L07.3","TO"
"8","MSP","L07.4","TO"
"9","MSP","L08.1","TO"
"10","MSP","L10.3","TO"
"11","MSP","L11.4","TO"
"12","BAL","AA.1","TO"
"13","BAL","CP.1","TO"
"14","BAL","DHI.1","TO"
"15","BAL","FH.2","TO"
"16","BAL","LL4.3","TO"
"17","BAL","RG2.2","TO"
"18","BAL","TRC.1","TO"
"19","BAL","WAB.1","TO"
"20","BAL","WBO.2","TO"
"21","BAL","WGP.1","TO"
"22","LA","L11.5","TO"
"23","LA","L12.1","TO"
"24","LA","L16.4","TO"
"25","LA","L17.5","TO"
"26","LA","L18.3","TO"
"27","LA","L19.2","TO"
"28","LA","L20.1","TO"
"29","LA","L22.5","TO"
"30","LA","L24.1","TO"
"31","PX","ALA.1","TO"
"32","PX","BUF.1","TO"
"33","PX","CLA.1","TO"
"34","PX","COY.6","TO"
"35","PX","DEF.1","TO"
"36","PX","LAP.1","TO"
"37","PX","WES.4","TO"
"38","MSP","L02.1","LS"
"39","MSP","L03.3","LS"
"40","MSP","L04.1","LS"
"41","MSP","L06.2","LS"
"42","MSP","L07.2","LS"
"43","MSP","L08.5","LS"
"44","MSP","L09.3","LS"
"45","MSP","L10.1","LS"
"46","MSP","L11.1","LS"
"47","BAL","AVH.1","LS"
"48","BAL","CP.1","LS"
"49","BAL","DHI.5","LS"
"50","BAL","FH.B","LS"
"51","BAL","GA.2","LS"
"52","BAL","MUL.1","LS"
"53","BAL","PAT.1","LS"
"54","BAL","SVL.2","LS"
"55","LA","L01.2","LS"
"56","LA","L01.4","LS"
"57","LA","L03.4","LS"
"58","LA","L04.2","LS"
"59","LA","L05.1","LS"
"60","LA","L06.2","LS"
"61","LA","L06.4","LS"
"62","LA","L07.3","LS"
"63","LA","L08.4","LS"
"64","LA","L09.2","LS"
"65","PX","ALA.1","LS"
"66","PX","CLA.6","LS"
"67","PX","DOW.4","LS"
"68","PX","ENC.4","LS"
"69","PX","MAN.5","LS"
"70","PX","MON.7","LS"
"71","PX","NTH.2","LS"
"72","PX","NUE.5","LS"
"73","PX","PKW.1","LS"
