sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.BA.PSP.M.1,(81),Baltimore,PSP,0,1,M,K1,0.993
TO.BA.PSP.M.1,(81),Baltimore,PSP,0,1,M,K2,0.004
TO.BA.PSP.M.1,(81),Baltimore,PSP,0,1,M,K3,0.003
TO.BA.PSP.M.2,(80),Baltimore,PSP,0,2,M,K1,0.055
TO.BA.PSP.M.2,(80),Baltimore,PSP,0,2,M,K2,0.941
TO.BA.PSP.M.2,(80),Baltimore,PSP,0,2,M,K3,0.003
TO.BA.PSP.M.4,(85),Baltimore,PSP,0,4,M,K1,0.141
TO.BA.PSP.M.4,(85),Baltimore,PSP,0,4,M,K2,0.839
TO.BA.PSP.M.4,(85),Baltimore,PSP,0,4,M,K3,0.02
TO.BO.I1.U.1,(66),Boston,I1,0,1,U,K1,0
TO.BO.I1.U.1,(66),Boston,I1,0,1,U,K2,0.999
TO.BO.I1.U.1,(66),Boston,I1,0,1,U,K3,0
TO.BO.I1.U.2,(76),Boston,I1,0,2,U,K1,0.001
TO.BO.I1.U.2,(76),Boston,I1,0,2,U,K2,0.998
TO.BO.I1.U.2,(76),Boston,I1,0,2,U,K3,0.001
TO.BO.I1.U.3,(65),Boston,I1,0,3,U,K1,0.001
TO.BO.I1.U.3,(65),Boston,I1,0,3,U,K2,0.999
TO.BO.I1.U.3,(65),Boston,I1,0,3,U,K3,0
TO.BO.I1.U.5,(77),Boston,I1,0,5,U,K1,0.721
TO.BO.I1.U.5,(77),Boston,I1,0,5,U,K2,0.277
TO.BO.I1.U.5,(77),Boston,I1,0,5,U,K3,0.002
TO.BO.I2.U.2,(62),Boston,I2,0,2,U,K1,0.001
TO.BO.I2.U.2,(62),Boston,I2,0,2,U,K2,0.999
TO.BO.I2.U.2,(62),Boston,I2,0,2,U,K3,0.001
TO.BO.I2.U.3,(59),Boston,I2,0,3,U,K1,0
TO.BO.I2.U.3,(59),Boston,I2,0,3,U,K2,0.999
TO.BO.I2.U.3,(59),Boston,I2,0,3,U,K3,0
TO.BO.I2.U.4,(67),Boston,I2,0,4,U,K1,0.005
TO.BO.I2.U.4,(67),Boston,I2,0,4,U,K2,0.993
