Obs.	LS.BA.CP.U.2	LS.BA.CP.U.4	LS.BA.CP.U.5	LS.BA.DHI.U.2	LS.BA.GA.U.1	LS.BA.GA.U.3	LS.BA.ML.U.2	LS.BA.ML.U.4	LS.BA.ML.U.5	LS.BA.PIK.U.1	LS.BA.PIK.U.2	LS.BA.PIK.U.3	LS.BA.PIK.U.5	LS.BA.PSP.M.1	LS.BA.WB.U.1	LS.BA.WB.U.2	LS.BA.WB.U.3	LS.BA.WB.U.5	LS.BA.WBO.U.3	LS.BA.WBO.U.5	LS.BO.HC4.M.2	LS.BO.HC4.M.3	LS.BO.HC4.M.4	LS.BO.I1.U.1	LS.BO.I2.U.1	LS.BO.I2.U.3	LS.BO.I2.U.4	LS.BO.I2.U.5	LS.BO.I4.U.1	LS.BO.I4.U.2	LS.BO.LC1.M.2	LS.BO.LC2.M.1	LS.BO.LC4.M.2	LS.BO.LC4.M.4	LS.BO.LC4.M.5	LS.BO.R1.U.1	LS.BO.R1.U.2	LS.BO.R2.U.2	LS.BO.R3.U.1	LS.BO.R3.U.2	LS.BO.R3.U.3	LS.BO.R4.U.1	LS.BO.R4.U.2	LS.BO.R4.U.4	LS.BO.WL1.M.1	LS.BO.WL1.M.2	LS.BO.WL1.M.3	LS.BO.WL2.M.1	LS.BO.WL2.M.2	LS.BO.WL2.M.3	LS.BO.WL3.M.1	LS.BO.WL3.M.3	LS.BO.WL3.M.4	LS.BO.WL3.M.5	LS.LA.ARR.U.1	LS.LA.ARR.U.2	LS.LA.ARR.U.3	LS.LA.ARR.U.4	LS.LA.ARR.U.5	LS.LA.ESM.M.1	LS.LA.ESM.M.2	LS.LA.ESM.M.4	LS.LA.ESM.M.5	LS.LA.FIG.U.1	LS.LA.FIG.U.3	LS.LA.FIG.U.5	LS.LA.GLO.M.3	LS.LA.GLO.M.5	LS.LA.GRI.M.1	LS.LA.GRI.M.3	LS.LA.HOW.U.1	LS.LA.HOW.U.3	LS.LA.HOW.U.4	LS.LA.HOW.U.5	LS.LA.MAD.M.1	LS.LA.MAD.M.2	LS.LA.MAD.M.4	LS.LA.NAV.M.2	LS.LA.NAV.M.4	LS.LA.NAV.M.5	LS.LA.NVR.U.1	LS.LA.PAR.M.2	LS.LA.PAR.M.4	LS.LA.SAN.U.1	LS.LA.SAN.U.2	LS.LA.SAN.U.3	LS.LA.SAN.U.4	LS.LA.SAN.U.5	LS.LA.SHO.M.1	LS.LA.SHO.M.2	LS.LA.SHO.M.3	LS.LA.SHO.M.4	LS.LA.SHO.M.5	LS.LA.SSV.M.1	LS.LA.SSV.M.2	LS.LA.SSV.M.3	LS.LA.SSV.M.4	LS.LA.SSV.M.5	LS.LA.STO.U.1	LS.LA.STO.U.4	LS.LA.VB1.U.1	LS.LA.VB1.U.2	LS.LA.VB1.U.3	LS.LA.VB1.U.4	LS.LA.VET.M.3	LS.LA.VET.M.4	LS.LA.VET.M.5	LS.LA.VNH.M.2	LS.LA.VNH.M.4	LS.LA.VNH.M.5	LS.LA.WES.M.2	LS.LA.WES.M.3	LS.LA.WES.M.4	LS.LA.WES.M.5	LS.MN.L01-LS.M.1	LS.MN.L01-LS.M.2	LS.MN.L01-LS.M.4	LS.MN.L01-LS.U.1	LS.MN.L01-LS.U.2	LS.MN.L01-LS.U.3	LS.MN.L01-LS.U.4	LS.MN.L02-LS.U.1	LS.MN.L03-LS.U.2	LS.MN.L04-LS.U.2	LS.MN.L05-LS.U.1	LS.MN.L05-LS.U.2	LS.MN.L05-LS.U.3	LS.MN.L05-LS.U.4	LS.MN.L05-LS.U.5	LS.MN.L06-LS.U.2	LS.MN.L06-LS.U.4	LS.MN.L06-LS.U.5	LS.MN.L07-LS.U.2	LS.MN.L07-LS.U.4	LS.MN.L07-LS.U.5	LS.MN.L08-LS.U.1	LS.MN.L08-LS.U.2	LS.MN.L08-LS.U.3	LS.MN.L08-LS.U.5	LS.MN.L09-LS.U.3	LS.MN.L09-LS.U.5	LS.MN.L10-LS.U.1	LS.MN.L10-LS.U.2	LS.MN.L11-LS.U.1	LS.PX.ALA.M.2	LS.PX.ALA.M.3	LS.PX.ALA.M.4	LS.PX.ALA.M.5	LS.PX.ALA.M.6	LS.PX.COY.M.3	LS.PX.COY.M.4	LS.PX.COY.M.5	LS.PX.DOW.M.2	LS.PX.DOW.M.3	LS.PX.DOW.M.4	LS.PX.ENC.M.2	LS.PX.ENC.M.4	LS.PX.ENC.M.5	LS.PX.LAP.M.1	LS.PX.LAP.M.2	LS.PX.MAN.M.1	LS.PX.MAN.M.2	LS.PX.MAN.M.3	LS.PX.MAN.M.4	LS.PX.MAN.M.5	LS.PX.MON.U.2	LS.PX.MON.U.3	LS.PX.MON.U.5	LS.PX.MON.U.7	LS.PX.NUE.M.1	LS.PX.NUE.M.3	LS.PX.PAL.M.1	LS.PX.PAL.M.2	LS.PX.PAL.M.3	LS.PX.PAL.M.5	LS.PX.PIE.M.2	LS.PX.PIE.M.4	LS.PX.PIE.M.5	LS.PX.PKW.U.1	LS.PX.PKW.U.3	LS.PX.PKW.U.5	LS.PX.RPL.U.2	LS.PX.RPL.U.3	LS.PX.RPL.U.5
LS.BA.CP.U.2	0.000000	22.000000	21.095023	18.708287	22.912878	22.045408	22.022716	22.649503	21.840330	21.494185	21.000000	22.405357	21.771541	22.000000	19.287302	21.954498	21.047565	18.654758	21.863211	19.467922	17.776389	18.574176	17.406895	17.691806	17.492856	17.521415	17.663522	17.720045	17.916473	17.691806	18.841444	17.492856	17.578396	17.521415	17.521415	17.578396	17.578396	17.549929	21.377558	17.691806	23.151674	17.521415	17.804494	17.606817	17.406895	17.435596	17.606817	17.492856	17.804494	17.464249	19.595918	22.494444	22.715633	20.566964	23.108440	23.895606	22.759613	18.574176	22.912878	19.442222	20.273135	19.183326	22.248595	22.561028	21.656408	22.405357	17.691806	17.776389	20.832667	19.874607	20.248457	22.315914	23.216374	21.863211	22.449944	21.260292	21.470911	20.928450	23.366643	22.583180	22.934690	20.566964	22.516660	22.803509	24.799194	20.591260	22.226111	22.226111	21.166010	22.000000	23.108440	18.814888	20.760539	23.558438	21.817424	22.338308	22.737634	20.976177	21.908902	22.956481	21.189620	19.824228	22.605309	22.561028	22.000000	23.151674	22.113344	22.000000	21.633308	22.405357	22.516660	21.908902	20.273135	22.494444	17.635192	19.339080	19.313208	18.574176	21.886069	24.083189	20.566964	22.671568	20.566964	23.345235	22.158520	22.583180	21.236761	19.595918	21.908902	22.022716	20.712315	21.656408	21.587033	23.600847	22.737634	19.646883	22.605309	21.771541	20.712315	24.103942	21.702534	22.472205	21.307276	22.293497	23.345235	24.454039	20.663978	22.693611	23.706539	23.237900	22.338308	20.736441	19.697716	19.493589	19.000000	18.867962	22.248595	18.761663	22.891046	19.339080	23.086793	24.799194	20.928450	23.727621	23.323808	24.657656	20.223748	19.078784	20.663978	23.065125	21.236761	17.521415	17.663522	17.720045	17.435596	19.519221	21.166010	20.322401	18.654758	18.627936	21.633308	20.469489	20.346990	19.493589
LS.BA.CP.U.4	22.000000	0.000000	21.047565	19.026298	23.259407	22.045408	22.583180	22.516660	22.315914	21.771541	21.725561	22.338308	21.794495	22.561028	19.544820	22.135944	21.587033	19.287302	22.538855	19.949937	18.193405	18.947295	17.804494	18.110770	17.888544	17.916473	18.055470	18.110770	18.275667	18.083141	19.493589	17.888544	17.972201	17.916473	17.916473	17.972201	17.972201	17.972201	20.615528	18.083141	23.151674	17.916473	18.193405	18.000000	17.804494	17.944358	18.000000	17.888544	18.193405	17.860571	19.798990	22.737634	23.600847	21.023796	23.216374	24.166092	22.956481	19.026298	23.237900	19.570386	20.952327	19.493589	22.869193	23.043437	22.516660	23.000000	17.972201	18.138357	20.784610	20.420578	20.445048	23.108440	23.515952	22.090722	22.934690	21.931712	22.090722	21.189620	23.937418	22.891046	23.259407	20.615528	23.000000	23.130067	25.199206	20.760539	22.427661	22.649503	21.377558	22.068076	23.065125	19.131126	21.095023	23.811762	21.610183	22.113344	22.934690	21.354157	21.908902	23.515952	21.610183	20.248457	22.978251	22.671568	22.427661	23.537205	22.561028	22.405357	21.517435	22.781571	23.043437	22.338308	20.445048	22.516660	18.083141	19.493589	19.697716	18.894444	22.113344	23.832751	20.832667	22.978251	20.639767	22.825424	21.931712	22.561028	21.142375	19.874607	21.725561	22.135944	21.213203	22.360680	21.307276	23.323808	22.516660	19.723083	22.271057	22.158520	20.784610	24.454039	21.908902	21.954498	21.748563	21.771541	23.537205	24.879711	21.047565	22.869193	23.895606	23.345235	22.715633	21.166010	20.000000	19.949937	19.287302	19.313208	22.583180	19.339080	23.065125	19.748418	23.452079	25.000000	21.283797	23.895606	23.706539	24.779023	20.445048	19.570386	21.095023	23.194827	21.424285	17.916473	18.000000	18.055470	17.832555	20.000000	21.330729	20.663978	19.364917	19.052559	22.022716	20.784610	20.639767	19.974984
LS.BA.CP.U.5	21.095023	21.047565	0.000000	16.278821	22.248595	20.518285	21.000000	19.570386	20.469489	19.442222	19.723083	21.702534	20.518285	20.371549	16.911535	21.771541	19.773720	16.309506	20.928450	17.776389	14.798649	15.842980	14.352700	14.730920	14.456832	14.491377	14.662878	14.662878	14.966630	14.696938	16.852300	14.456832	14.560220	14.491377	14.491377	14.560220	14.491377	14.560220	18.734994	14.696938	21.863211	14.491377	14.832397	14.594520	14.352700	14.525839	14.594520	14.456832	14.832397	14.422205	16.911535	20.688161	21.771541	19.261360	21.377558	21.908902	21.424285	15.684387	21.517435	16.733201	18.493242	16.792856	20.566964	21.400935	20.420578	21.142375	14.662878	14.764823	18.894444	18.138357	18.110770	20.832667	21.354157	20.149442	21.166010	19.723083	19.899749	19.000000	22.449944	21.330729	21.236761	18.788294	21.071308	20.784610	23.622024	18.654758	20.856654	20.760539	19.287302	20.542639	19.899749	16.062378	18.761663	21.494185	20.124612	20.688161	21.563859	19.157244	20.273135	21.424285	19.672316	17.464249	21.702534	21.213203	20.688161	21.517435	20.976177	20.615528	19.209373	21.000000	21.095023	20.591260	17.888544	21.023796	14.832397	17.233688	16.792856	16.062378	19.849433	22.226111	18.574176	21.023796	18.627936	21.400935	20.542639	20.928450	19.949937	17.748239	19.874607	21.725561	19.798990	21.142375	19.924859	21.023796	20.976177	17.291616	20.832667	20.615528	18.681542	21.908902	19.621417	19.672316	20.542639	20.396078	21.470911	22.737634	18.627936	21.047565	21.771541	21.587033	20.445048	18.303005	17.349352	17.058722	16.462078	16.248077	20.542639	16.217275	21.047565	16.881943	21.377558	22.956481	18.627936	22.113344	21.470911	22.869193	18.027756	16.583124	18.439089	21.118712	19.131126	14.491377	14.662878	14.730920	14.387495	17.117243	19.078784	18.055470	16.278821	15.905974	19.697716	18.193405	18.110770	17.029386
LS.BA.DHI.U.2	18.708287	19.026298	16.278821	0.000000	19.824228	17.291616	18.734994	17.804494	17.916473	15.968719	16.703293	18.920888	17.291616	18.708287	12.124356	19.595918	17.175564	11.180340	18.947295	13.453624	9.110434	10.770330	8.485281	9.110434	8.660254	8.717798	9.000000	9.110434	9.219544	9.055385	12.206556	8.660254	8.831761	8.717798	8.485281	8.831761	8.831761	8.831761	15.842980	9.055385	19.467922	8.717798	9.273618	8.888194	8.485281	8.774964	8.888194	8.660254	9.273618	8.602325	12.409674	18.330303	19.697716	15.198684	18.814888	19.849433	18.574176	9.848858	18.841444	12.206556	14.560220	11.357817	17.888544	18.681542	17.578396	18.384776	9.055385	9.219544	15.000000	14.212670	13.674794	18.000000	18.841444	16.155494	18.275667	16.613248	16.309506	14.899664	19.899749	18.520259	18.654758	14.560220	18.493242	18.681542	21.000000	14.387495	17.635192	18.138357	14.798649	17.291616	18.330303	10.816654	14.525839	19.235384	16.583124	17.378147	19.104973	15.588457	16.401219	19.026298	16.340135	13.190906	18.867962	18.411953	17.606817	18.867962	18.165902	16.970563	16.673332	18.411953	18.520259	17.262677	13.747727	17.916473	9.055385	12.083046	11.874342	10.630146	17.492856	20.223748	14.387495	18.574176	14.696938	19.000000	17.748239	17.720045	16.522712	12.884099	17.691806	19.183326	16.673332	18.493242	17.088007	19.544820	18.138357	12.649111	18.384776	18.411953	14.387495	20.297783	17.262677	17.916473	17.663522	17.944358	18.520259	20.049938	14.177447	17.972201	18.814888	18.330303	17.262677	14.282857	12.727922	12.083046	11.532563	11.180340	17.204651	10.954451	17.691806	12.041595	18.193405	20.273135	14.491377	19.078784	18.734994	19.974984	13.928388	11.832160	14.491377	17.860571	15.165751	8.717798	9.000000	9.110434	8.544004	12.369317	14.966630	13.601471	11.224972	10.440307	16.031220	13.711309	14.000000	12.124356
LS.BA.GA.U.1	22.912878	23.259407	22.248595	19.824228	0.000000	21.587033	22.383029	23.452079	22.472205	22.338308	21.748563	22.516660	21.771541	22.561028	20.445048	23.622024	22.315914	19.773720	23.685439	20.808652	18.841444	19.646883	18.547237	18.841444	18.627936	18.654758	18.788294	18.841444	18.947295	18.814888	20.049938	18.627936	18.708287	18.654758	18.654758	18.708287	18.708287	18.708287	22.203603	18.814888	24.392622	18.654758	18.920888	18.734994	18.547237	18.681542	18.734994	18.627936	18.920888	18.601075	20.248457	22.693611	23.452079	21.494185	23.685439	24.718414	23.302360	19.595918	23.643181	20.174241	21.283797	19.974984	23.130067	22.912878	22.203603	23.065125	18.814888	18.894444	21.587033	20.832667	21.213203	22.891046	23.916521	22.494444	23.916521	22.605309	22.360680	21.794495	24.372115	23.748684	23.280893	21.679483	23.643181	23.664319	25.219040	21.725561	23.345235	23.537205	22.271057	23.021729	23.916521	19.773720	21.517435	24.310492	22.293497	22.891046	23.769729	21.908902	22.383029	23.622024	22.203603	20.880613	23.452079	23.600847	23.216374	23.958297	22.781571	22.627417	22.494444	23.409400	23.494680	22.293497	20.904545	23.323808	18.867962	20.322401	20.174241	19.519221	22.271057	24.269322	20.976177	22.627417	21.283797	23.000000	21.748563	23.643181	21.656408	20.493902	23.000000	22.912878	21.702534	22.605309	21.863211	23.579652	23.323808	20.445048	23.173260	22.181073	21.095023	24.899799	21.977261	23.151674	22.158520	22.538855	24.310492	25.219040	21.771541	23.706539	24.372115	24.145393	23.345235	21.540659	20.832667	20.566964	20.000000	19.899749	23.366643	19.949937	23.600847	20.396078	23.643181	25.690465	21.863211	24.556058	24.186773	25.337719	21.000000	20.273135	21.587033	23.958297	22.271057	18.654758	18.788294	18.841444	18.574176	20.469489	21.954498	21.283797	20.000000	19.723083	22.583180	21.330729	21.330729	20.688161
LS.BA.GA.U.3	22.045408	22.045408	20.518285	17.291616	21.587033	0.000000	21.494185	21.517435	20.493902	19.467922	20.149442	20.808652	20.322401	21.886069	17.663522	22.516660	21.189620	17.175564	22.271057	18.654758	16.000000	17.029386	15.684387	15.968719	15.779734	15.811388	15.968719	16.031220	16.155494	16.000000	17.635192	15.779734	15.874508	15.811388	15.811388	15.874508	15.874508	15.874508	20.149442	16.000000	22.561028	15.811388	16.124515	15.905974	15.684387	15.842980	15.905974	15.779734	16.062378	15.748016	17.972201	21.587033	22.627417	19.026298	21.908902	23.388031	21.517435	16.703293	21.863211	17.691806	18.681542	17.378147	21.725561	21.118712	20.928450	21.540659	15.937377	16.093477	18.947295	18.654758	18.814888	21.656408	22.068076	20.000000	21.725561	20.736441	20.322401	19.183326	23.430749	22.045408	22.158520	18.574176	22.045408	22.045408	23.108440	18.814888	20.856654	21.817424	19.519221	20.688161	21.931712	17.000000	18.867962	22.737634	20.199010	20.469489	22.158520	19.235384	20.049938	22.203603	19.773720	17.860571	21.656408	22.090722	21.400935	22.538855	21.424285	20.297783	20.322401	22.181073	22.090722	20.248457	18.601075	21.000000	16.000000	17.578396	17.262677	16.733201	21.213203	23.021729	18.627936	21.610183	18.788294	21.794495	19.899749	21.166010	20.049938	17.832555	21.047565	21.908902	19.646883	21.400935	20.099751	22.693611	20.760539	18.027756	21.494185	21.702534	18.547237	23.558438	20.049938	21.330729	20.493902	21.494185	22.338308	23.280893	18.920888	21.587033	22.383029	22.181073	21.189620	19.000000	18.384776	18.027756	17.233688	17.146428	21.354157	17.320508	21.702534	17.860571	21.702534	23.664319	19.442222	22.427661	22.248595	23.473389	18.761663	17.464249	19.416488	21.794495	20.024984	15.811388	15.905974	16.031220	15.716234	18.055470	19.773720	18.601075	17.521415	17.029386	20.469489	18.841444	18.841444	17.944358
LS.BA.ML.U.2	22.022716	22.583180	21.000000	18.734994	22.383029	21.494185	0.000000	22.181073	21.725561	21.166010	20.712315	22.022716	21.354157	21.447611	19.157244	22.803509	21.307276	18.681542	22.781571	19.949937	17.663522	18.466185	17.262677	17.549929	17.349352	17.378147	17.521415	17.521415	17.748239	17.549929	19.026298	17.349352	17.378147	17.378147	17.378147	17.435596	17.435596	17.406895	21.517435	17.549929	23.643181	17.378147	17.663522	17.464249	17.262677	17.406895	17.464249	17.349352	17.663522	17.320508	19.313208	22.248595	22.583180	20.074860	22.494444	23.409400	22.781571	18.466185	22.671568	19.157244	20.049938	18.814888	22.181073	22.271057	21.633308	22.649503	17.492856	17.635192	20.493902	20.124612	20.124612	22.338308	22.715633	21.470911	22.516660	21.447611	20.856654	20.566964	23.473389	22.715633	22.315914	20.445048	22.891046	22.293497	24.758837	20.248457	22.383029	22.226111	20.880613	21.633308	22.627417	18.654758	20.124612	23.216374	21.886069	21.656408	22.956481	20.688161	21.330729	22.561028	21.189620	19.646883	23.000000	22.538855	22.271057	23.173260	21.679483	22.022716	21.771541	22.068076	22.561028	21.587033	19.924859	22.627417	17.521415	19.339080	19.131126	18.439089	21.748563	23.664319	19.798990	22.113344	20.174241	22.583180	21.447611	22.605309	21.023796	19.519221	22.000000	22.068076	20.712315	22.068076	20.952327	22.912878	22.158520	19.261360	22.226111	21.702534	20.322401	24.186773	20.904545	21.817424	21.330729	22.135944	23.237900	24.392622	20.639767	22.825424	23.600847	23.108440	22.449944	20.322401	19.519221	19.416488	18.734994	18.788294	22.583180	18.788294	22.649503	19.287302	23.065125	24.799194	20.639767	23.558438	23.323808	24.474477	19.697716	18.841444	20.493902	22.869193	20.808652	17.378147	17.521415	17.578396	17.291616	19.544820	21.023796	19.974984	18.654758	18.466185	21.377558	20.199010	20.248457	19.287302
LS.BA.ML.U.4	22.649503	22.516660	19.570386	17.804494	23.452079	21.517435	22.181073	0.000000	21.794495	20.445048	21.166010	22.803509	21.817424	21.748563	18.439089	23.065125	20.760539	17.972201	22.068076	19.261360	16.792856	17.691806	16.340135	16.613248	16.431677	16.462078	16.613248	16.673332	16.852300	16.643317	18.439089	16.431677	16.522712	16.462078	16.462078	16.522712	16.522712	16.522712	19.390719	16.643317	22.627417	16.462078	16.763055	16.552945	16.340135	16.492423	16.552945	16.431677	16.703293	16.401219	18.411953	22.045408	23.021729	20.420578	22.315914	23.108440	22.516660	17.406895	22.472205	18.493242	19.924859	18.275667	21.494185	22.449944	21.540659	22.248595	16.613248	16.703293	19.899749	19.697716	19.467922	21.794495	22.383029	21.166010	22.113344	21.047565	21.095023	20.396078	23.452079	22.293497	22.383029	19.849433	22.022716	21.771541	24.269322	20.024984	22.315914	21.886069	20.322401	21.794495	20.928450	17.748239	20.099751	22.825424	21.424285	21.424285	22.405357	20.322401	21.377558	22.494444	20.832667	19.313208	22.671568	22.248595	21.563859	22.472205	22.383029	21.977261	20.663978	22.113344	21.954498	21.633308	19.313208	22.360680	16.733201	18.627936	18.493242	17.635192	21.118712	23.151674	19.849433	22.338308	20.273135	22.271057	21.748563	22.000000	21.166010	19.313208	21.283797	22.649503	21.283797	22.494444	21.142375	22.158520	22.045408	18.761663	22.000000	21.863211	20.099751	23.151674	21.424285	20.297783	21.748563	21.610183	22.627417	23.895606	19.849433	22.315914	22.978251	22.825424	21.817424	19.874607	19.078784	18.601075	18.275667	17.972201	22.022716	18.055470	22.271057	18.520259	22.649503	24.207437	19.924859	23.151674	22.869193	24.020824	19.646883	18.303005	20.074860	22.338308	20.493902	16.462078	16.552945	16.673332	16.370706	18.788294	20.566964	19.544820	18.165902	17.691806	21.047565	19.697716	19.723083	18.867962
LS.BA.ML.U.5	21.840330	22.315914	20.469489	17.916473	22.472205	20.493902	21.725561	21.794495	0.000000	20.000000	20.663978	21.517435	21.095023	22.315914	18.248288	21.908902	21.142375	17.720045	22.203603	19.157244	16.822604	17.663522	16.370706	16.703293	16.462078	16.492423	16.643317	16.703293	16.911535	16.673332	18.248288	16.462078	16.552945	16.492423	16.492423	16.552945	16.552945	16.552945	20.566964	16.673332	22.158520	16.492423	16.792856	16.583124	16.370706	16.522712	16.583124	16.462078	16.792856	16.431677	18.867962	21.702534	22.847319	19.646883	21.977261	23.664319	22.113344	17.492856	22.226111	18.493242	19.416488	18.193405	21.817424	21.908902	21.071308	21.424285	16.643317	16.733201	19.824228	19.287302	19.339080	22.181073	22.561028	20.832667	22.248595	21.142375	20.445048	20.024984	23.151674	22.516660	22.405357	19.646883	22.271057	22.583180	23.216374	19.493589	21.863211	21.977261	20.099751	21.118712	22.226111	17.663522	19.874607	22.978251	20.371549	21.236761	22.338308	20.322401	20.808652	22.759613	20.273135	18.894444	21.817424	22.068076	21.283797	22.605309	21.447611	21.213203	20.760539	22.315914	22.338308	21.354157	19.131126	21.540659	16.703293	18.601075	18.357560	17.776389	21.494185	23.280893	19.287302	22.068076	19.824228	22.405357	20.493902	21.470911	20.663978	18.761663	21.213203	22.203603	20.346990	21.954498	20.542639	23.151674	21.023796	18.411953	22.090722	21.587033	19.621417	23.473389	20.297783	21.725561	20.880613	21.886069	22.715633	24.020824	19.874607	22.181073	23.130067	22.627417	21.725561	19.899749	18.973666	18.681542	18.083141	17.972201	21.587033	18.055470	22.226111	18.520259	22.627417	24.083189	20.049938	23.108440	22.781571	24.186773	19.364917	18.275667	19.874607	22.338308	20.663978	16.492423	16.643317	16.703293	16.401219	18.788294	20.445048	19.519221	18.055470	17.748239	21.023796	19.646883	19.621417	18.841444
LS.BA.PIK.U.1	21.494185	21.771541	19.442222	15.968719	22.338308	19.467922	21.166010	20.445048	20.000000	0.000000	19.493589	21.330729	20.000000	21.283797	16.733201	21.610183	20.469489	16.155494	21.071308	17.635192	15.099669	16.062378	14.594520	15.000000	14.696938	14.764823	14.933185	15.000000	15.198684	14.966630	16.643317	14.730920	14.832397	14.764823	14.764823	14.832397	14.832397	14.832397	19.364917	14.966630	21.771541	14.764823	15.099669	14.866069	14.628739	14.798649	14.832397	14.730920	15.099669	14.696938	16.911535	21.189620	22.248595	18.384776	21.587033	22.759613	21.540659	15.716234	21.563859	16.881943	17.972201	16.309506	21.213203	21.118712	20.000000	21.354157	14.933185	15.066519	18.574176	18.165902	17.663522	21.095023	21.771541	19.672316	21.470911	19.824228	19.183326	18.055470	22.360680	21.517435	21.354157	18.220867	21.400935	21.540659	23.259407	18.138357	20.639767	21.071308	18.814888	20.149442	21.142375	16.062378	18.248288	21.886069	19.570386	20.223748	21.702534	19.052559	19.621417	21.771541	19.000000	17.000000	21.307276	21.283797	20.566964	21.954498	21.000000	19.899749	19.974984	21.260292	21.330729	20.174241	17.663522	20.712315	14.966630	16.583124	16.401219	15.842980	20.518285	22.649503	17.378147	21.189620	17.972201	21.656408	20.297783	20.663978	19.313208	17.029386	20.688161	21.748563	19.672316	21.000000	19.798990	21.908902	20.880613	16.673332	21.377558	20.952327	17.860571	22.383029	19.364917	20.420578	20.518285	20.952327	21.470911	23.086793	18.248288	21.213203	21.931712	21.494185	20.346990	18.083141	17.349352	16.852300	16.155494	16.124515	20.420578	16.401219	20.928450	16.703293	21.166010	23.259407	18.493242	22.113344	21.702534	23.021729	17.492856	16.431677	18.110770	20.445048	18.867962	14.764823	14.866069	14.866069	14.662878	17.233688	18.973666	17.832555	16.462078	16.031220	19.493589	17.888544	17.832555	16.911535
